Building ID,Building Names,Street Address,City,State,Zip Code,Place Type,Square Footage,Commercial Square Footage,Residential Square Footage,Mixed Use,Parking Spaces,Parking Spaces Off Street
101,801 Alma,801 Alma Street,Palo Alto,CA,94301,Local Neighborhood,63885,16082,47803,No,60,60
103,Cottonwood Place,3701 Peralta Blvd,Fremont,CA,94536,Transit Neighborhood,101956,40822,61134,Yes,110,110
104,Delmas Park Apartments LP,350 Bird Ave,San Jose,CA,95126,Regional Center,-,0,-,Yes,144,144
105,EC Magnolia Court,22880 Watkins Street,Hayward,CA,94541,City Center,-,0,16940,No,9,9
106,Elena Gardens Apartments,1900 Lakewood Dr.,San Jose,CA,95132,Mixed-Use Corridor,300999,161247,139752,No,220,220
107,Emerson Arms,326 Ward Street,Martinez,CA,94553,Transit Neighborhood,-,0,54424,No,32,32
108,Glen Eden Apts,561 A Street,Hayward,CA,94541,Local Neighborhood,-,0,37392,Yes,84,84
109,Harrison St Senior Housing,1633 Harrison St,Oakland,CA,94612,Regional Center,66888,27972,38916,No,20,20
110,Hayward Senior,568 C Street,Hayward,CA,94541,City Center,48628,14349,34279,Yes,78,78
111,Irene Cooper Terrace,1218 2nd Ave,Oakland,CA,94606,Mixed-Use Corridor,-,0,-,No,16,16
112,Lenzen Square Apartments,790 Lenzen Ave,San Jose,CA,95126,City Center,59709,10377,49332,No,142,142
114,Mosaica Apartments,680 Florida Street,San Francisco,CA,94110,Urban Neighborhood,182696,0,-,Yes,79,94
115,Northgate Terrace,550 24th Street,Oakland,CA,94612,Regional Center,-,0,-,No,48,57
116,Palm Court,1200 Lick Ave,San Jose,CA,95110,City Center,52471,14079,38392,No,40,42
117,Parkview Family Apartments,360 Meridian Ave,San Jose,CA,95126,Mixed-Use Corridor,131344,46956,84388,No,101,101
118,Parkview Senior Apartments,355 Race Street,San Jose,CA,95126,Mixed-Use Corridor,-,0,83427,No,90,90
119,Plaza de las Flores,233 Carroll Street,Sunnyvale,Ca,94086,Transit Town Center,92411,23053,69358,No,34,34
120,SOMA Apartments,1180 Howard Street,San Francisco,CALIFORNIA,94103,Regional Center,102810,0,-,Yes,58,66
